timestamp,open,high,low,close,volume,trade_count,vwap
2018-04-13 04:00:00+00:00,5.41,5.4162,5.4162,5.58,258,4,5.42438
2018-04-16 04:00:00+00:00,5.4,5.56,5.4,5.45,20593,68,5.48781
2018-04-17 04:00:00+00:00,5.38,5.3969,5.2519,5.2519,2273,8,5.382081
2018-04-18 04:00:00+00:00,5.6,5.6,5.6,5.6,378,3,5.595317
2018-04-19 04:00:00+00:00,5.6,5.6,5.6,5.6,0,0,0.0
2018-04-20 04:00:00+00:00,5.6,5.6,5.6,5.6,0,0,0.0
2018-04-23 04:00:00+00:00,5.6,5.6,5.6,5.6,0,0,0.0
2018-04-24 04:00:00+00:00,5.08,5.438,5.438,5.438,132,2,5.351212
2018-04-25 04:00:00+00:00,5.438,5.438,5.438,5.438,0,0,0.0
2018-04-26 04:00:00+00:00,5.16,5.4,5.186,5.27,4038,16,5.225376
2018-04-27 04:00:00+00:00,5.27,5.3456,5.261,5.35,3725,16,5.313673
2018-04-30 04:00:00+00:00,5.1,5.1254,5.1232,5.1254,1349,9,5.123053
2018-05-01 04:00:00+00:00,5.11,5.13,5.1,5.13,1302,12,5.111544
2018-05-02 04:00:00+00:00,5.12,5.12,5.1,5.175,1149,6,5.102949
2018-05-03 04:00:00+00:00,5.349,6.2,5.2279,5.38,140855,511,5.66162
2018-05-04 04:00:00+00:00,5.29,5.25,4.7,5.19,12694,65,4.935339
2018-05-07 04:00:00+00:00,5.05,5.0806,4.1,4.65,7655,54,4.641485
2018-05-08 04:00:00+00:00,4.66,4.85,4.518,4.85,12496,48,4.676428
2018-05-09 04:00:00+00:00,4.95,5.0,4.7,4.95,14479,71,4.822209
2018-05-10 04:00:00+00:00,4.7,4.7097,4.7,4.7097,415,5,4.707602
2018-05-11 04:00:00+00:00,4.7,4.67,4.58,4.76,1851,15,4.624009
2018-05-14 04:00:00+00:00,4.72,4.71,4.7,4.71,1111,9,4.704563
2018-05-15 04:00:00+00:00,4.7,4.65,4.58,4.58,2141,15,4.607931
2018-05-16 04:00:00+00:00,4.58,4.54,4.5,4.5,837,11,4.518524
2018-05-17 04:00:00+00:00,4.5,4.5,4.48,4.48,4659,24,4.497607
2018-05-18 04:00:00+00:00,4.3814,4.415,4.2,4.45,9075,28,4.254622
2018-05-21 04:00:00+00:00,4.415,4.415,4.415,4.415,0,0,0.0
2018-05-22 04:00:00+00:00,4.2,4.2001,4.2001,4.2001,1028,4,4.200379
2018-05-23 04:00:00+00:00,4.4673,4.4673,4.4262,4.4262,264,4,4.445682
2018-05-24 04:00:00+00:00,4.4262,4.4262,4.4262,4.4262,0,0,0.0
2018-05-25 04:00:00+00:00,4.4262,4.4262,4.4262,4.4262,0,0,0.0
2018-05-29 04:00:00+00:00,4.4262,4.4262,4.4262,4.4262,0,0,0.0
2018-05-30 04:00:00+00:00,4.3,4.3,4.3,4.3,277,6,4.346823
2018-05-31 04:00:00+00:00,4.2,4.2,4.2,4.3,1365,8,4.208451
2018-06-01 04:00:00+00:00,4.2145,4.37,4.2145,4.35,421,4,4.305662
2018-06-04 04:00:00+00:00,4.19,4.376,4.19,4.25,774,6,4.336279
2018-06-05 04:00:00+00:00,4.49,4.49,4.49,4.49,101,2,4.489944
2018-06-06 04:00:00+00:00,4.47,4.47,4.2,4.22,1958,11,4.241011
2018-06-07 04:00:00+00:00,4.22,4.22,4.22,4.22,0,0,0.0
2018-06-08 04:00:00+00:00,4.3774,4.3774,4.3774,4.3774,160,4,4.379281
2018-06-11 04:00:00+00:00,4.39,4.2319,4.1,4.18,3983,20,4.19082
2018-06-12 04:00:00+00:00,4.1,4.1,4.1,4.1,0,0,0.0
2018-06-13 04:00:00+00:00,4.05,4.05,3.7,3.7,9371,36,3.839949
2018-06-14 04:00:00+00:00,3.85,3.78,3.78,3.78,558,10,3.778634
2018-06-15 04:00:00+00:00,3.78,3.72,3.3055,3.47,5169,25,3.513333
2018-06-18 04:00:00+00:00,3.6001,3.6447,3.45,3.5,8304,30,3.548718
2018-06-19 04:00:00+00:00,3.3601,3.417,3.3601,3.4,1166,11,3.409017
2018-06-20 04:00:00+00:00,3.49,3.49,3.49,3.49,425,2,3.490653
2018-06-21 04:00:00+00:00,3.4,3.4009,3.4,3.4,497,5,3.402086
2018-06-22 04:00:00+00:00,3.44,3.44,3.44,3.44,257,6,3.443776
2018-06-25 04:00:00+00:00,3.4399,3.4399,3.4399,3.4399,178,3,3.44036
2018-06-26 04:00:00+00:00,3.39,5.11,3.39,4.3,288141,930,4.131861
2018-06-27 04:00:00+00:00,4.11,4.7378,3.5208,3.89,68479,231,4.122164
2018-06-28 04:00:00+00:00,3.88,4.03,3.44,3.5,19643,86,3.681924
2018-06-29 04:00:00+00:00,3.63,3.5826,2.502,3.24,43756,282,2.95637
2018-07-02 04:00:00+00:00,3.26,3.4201,2.89,3.405,22962,172,3.252459
2018-07-03 04:00:00+00:00,3.49,3.49,3.15,3.3059,10243,79,3.301716
2018-07-05 04:00:00+00:00,3.3,3.49,2.8,3.2924,105191,792,3.167596
2018-07-06 04:00:00+00:00,3.25,3.22,2.5,3.24,37225,123,2.963804
2018-07-09 04:00:00+00:00,3.22,3.28,3.05,3.1,13233,118,3.168806
2018-07-10 04:00:00+00:00,3.36,3.48,3.05,3.48,35778,234,3.252551
2018-07-11 04:00:00+00:00,3.46,3.57,3.22,3.495,9217,93,3.407783
2018-07-12 04:00:00+00:00,3.5,3.57,3.4001,3.42,13871,83,3.468724
2018-07-13 04:00:00+00:00,3.44,3.6,3.402,3.59,28607,113,3.55455
2018-07-16 04:00:00+00:00,3.56,4.1,3.22,3.76,87970,596,3.620622
2018-07-17 04:00:00+00:00,3.77,4.4596,3.5,3.8,123670,1093,3.888845
2018-07-18 04:00:00+00:00,3.77,4.35,3.6973,3.81,25199,184,3.988721
2018-07-19 04:00:00+00:00,3.81,4.14,3.58,3.91,100375,930,3.891459
2018-07-20 04:00:00+00:00,3.88,4.3,3.68,4.2,106350,842,4.019414
2018-07-23 04:00:00+00:00,4.21,4.84,3.81,4.6,121592,818,4.354902
2018-07-24 04:00:00+00:00,4.59,4.7106,4.22,4.56,86955,696,4.465166
2018-07-25 04:00:00+00:00,4.51,4.648,4.43,4.43,5471,44,4.50898
2018-07-26 04:00:00+00:00,4.46,4.82,4.46,4.66,2799,15,4.601396
2018-07-27 04:00:00+00:00,4.69,4.69,4.56,4.65,3961,26,4.710416
2018-07-30 04:00:00+00:00,4.68,4.68,4.06,4.19,9232,33,4.280002
2018-07-31 04:00:00+00:00,4.18,4.2864,4.08,4.09,4129,32,4.153685
2018-08-01 04:00:00+00:00,4.03,4.28,4.0,4.0,2618,24,4.139263
2018-08-02 04:00:00+00:00,4.1,4.3447,3.9827,4.01,3345,14,4.063502
2018-08-03 04:00:00+00:00,4.03,4.04,3.975,3.91,899,7,4.020428
2018-08-06 04:00:00+00:00,3.95,4.1209,3.95,4.1,1800,6,4.061195
2018-08-07 04:00:00+00:00,4.0101,4.0321,4.0101,4.0321,313,3,4.027061
2018-08-08 04:00:00+00:00,3.95,4.1786,3.8019,3.8242,3406,14,3.906407
2018-08-09 04:00:00+00:00,3.9,3.9,3.9,3.9,1781,5,3.900525
2018-08-10 04:00:00+00:00,4.0503,4.0503,3.83,3.83,2341,9,3.866236
2018-08-13 04:00:00+00:00,3.75,3.7975,3.45,3.47,50180,120,3.510703
2018-08-14 04:00:00+00:00,3.4837,3.6999,3.45,3.5,4443,15,3.50998
2018-08-15 04:00:00+00:00,3.48,3.619,3.5,3.58,3882,12,3.577205
2018-08-16 04:00:00+00:00,3.61,3.7408,3.7408,3.83,266,4,3.739023
2018-08-17 04:00:00+00:00,3.8,3.8,3.8,3.8,537,8,3.813529
2018-08-20 04:00:00+00:00,4.0,3.9,3.5571,3.64,18135,60,3.712175
2018-08-21 04:00:00+00:00,3.65,3.6882,3.6882,3.75,6378,4,3.688915
2018-08-22 04:00:00+00:00,3.6994,3.77,3.6994,3.9,836,9,3.744073
2018-08-23 04:00:00+00:00,3.87,3.87,3.81,3.77,7286,24,3.813195
2018-08-24 04:00:00+00:00,3.79,3.7807,3.57,3.57,1592,16,3.684587
2018-08-27 04:00:00+00:00,3.61,3.97,3.61,3.97,1096,8,3.911888
2018-08-28 04:00:00+00:00,3.97,3.97,3.97,3.97,0,0,0.0
2018-08-29 04:00:00+00:00,3.86,4.15,3.75,3.83,2685,20,3.822269
2018-08-30 04:00:00+00:00,3.96,4.18,4.15,4.16,340,12,4.149059
2018-08-31 04:00:00+00:00,3.9813,3.9813,3.9813,3.78,360,6,3.863808
2018-09-04 04:00:00+00:00,3.9813,3.9813,3.9813,3.9813,0,0,0.0
2018-09-05 04:00:00+00:00,3.95,3.95,3.95,4.09,269,9,4.004647
2018-09-06 04:00:00+00:00,3.94,4.1,3.9,4.1,10670,43,3.995871
2018-09-07 04:00:00+00:00,4.1,5.0,4.1,4.99,9771,72,4.684019
2018-09-10 04:00:00+00:00,5.22,5.22,5.0782,5.085,6800,86,5.166691
2018-09-11 04:00:00+00:00,5.09,5.3496,4.9,4.92,12976,58,5.08491
2018-09-12 04:00:00+00:00,4.73,5.1658,4.73,4.9001,4536,45,4.870674
2018-09-13 04:00:00+00:00,4.84,5.0774,4.8,4.9,586,18,4.897499
2018-09-14 04:00:00+00:00,4.75,5.1077,4.9,5.0,1877,22,4.957036
2018-09-17 04:00:00+00:00,5.0,5.145,3.812,4.15,29937,142,4.518493
2018-09-18 04:00:00+00:00,4.15,4.15,3.94,3.98,1239,15,3.997296
2018-09-19 04:00:00+00:00,4.01,4.38,4.01,4.02,351,10,4.132377
2018-09-20 04:00:00+00:00,4.29,4.4,4.25,4.35,5510,44,4.345039
2018-09-21 04:00:00+00:00,4.26,4.3215,4.3,4.37,1226,9,4.307251
2018-09-24 04:00:00+00:00,4.3,4.3,4.3,4.33,1028,4,4.300525
2018-09-25 04:00:00+00:00,4.3,4.3,4.3,4.3,0,0,0.0
2018-09-26 04:00:00+00:00,4.3,4.3,4.3,4.3,0,0,0.0
